what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518604153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518604353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518604582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518604781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518605009
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518605258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518605486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518605731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518606076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518606399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518606618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518606817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518607268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518607587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518608034
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518624790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518637856
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518655583
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1317518658619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518658637
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518659651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518677481
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518679386
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518685240
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518726759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518751295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518762781
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1317518770770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518789081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518795453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1317518803528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317518804943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518812089
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518814390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518830285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518832777
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518834827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317518891797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518895822
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518917089
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518921528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1317518921533
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518951223
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518951539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518951757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518951962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518952192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518952432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518952953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518953880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518954156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518954399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518954634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518955014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518955489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518955859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518956314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518956706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518957030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518957372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518958609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518960408
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518961778
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518963393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518963897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518964388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518964941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518965621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518966064
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518966516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518967098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518967769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518968012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518968277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518968484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518968785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518969206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518969672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518969998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518970527
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518971030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1317518972268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518973268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518981598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317518985888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317518986792
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317518990369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519015640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519052419
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519086483
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519090129
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519156678
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519172072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519183802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519184218
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519204428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1317519211386
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519213866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317519216582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519225312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317519232262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519244075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519251539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519256834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519259787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519266851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519268372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519271036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519277587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519283397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519284189
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317519284520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519288162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519297959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519309004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519315186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519398841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519420876
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1317519465745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317519466866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519478081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519484995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519488445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519489265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519515520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519541289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519544310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519558600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519578395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519580807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519651909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519652046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519652052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519656507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519657669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519772465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519789113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519803028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519810019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519825434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519828504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519846618
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1317519874390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519887371
opened,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519895284
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519895355
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519896115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519900468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317519914420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317519917162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317519918992
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317519921957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519934012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519939613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519944062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519945010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519957364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317519965410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520004697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520007064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520007382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520014285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520020700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520028186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520030250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520067522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317520082851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317520102375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317520105595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317520137419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317520204691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1317520259117
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317520260342
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1317520268718
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1317520269254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317520293171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317520294120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317520314846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317520316412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520332434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520393122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520394105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520675635
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317520677514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520679455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520687639
executed,command,,,"AUTOGEN:::com.adobe.flexbuilder.debug.ui.actionScriptRulerActions/com.adobe.flexbuilder.debug.ui.actionScriptDoubleClickBreakpointAction",1317520705685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520725919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520728258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520730282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520764170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520780349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520782584
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1317520782599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317520783270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317521269112
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317521288473
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317521306035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317521312796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317521550498
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317521565605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317521571059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317521571207
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1317521579673
