what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317529332577
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1317529356640
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1317529356845
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1317529357095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317529360316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317529366228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317529378993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317529391089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317529989979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317529990079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317529991193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317530005278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530011835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530039849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530047385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530461597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530470784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530488278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530488373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530489358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1317530519491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317530521121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530534885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530544423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530666508
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1317530670259
activated,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530679225
closed,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.as.editor.asdocviewer",1317530679337
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1317530686674
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1317530686741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530723373
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1317530727637
opened,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530741337
activated,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530741450
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530758952
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1317530761971
opened,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530768590
activated,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530768764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530788442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530792174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530818162
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1317530828125
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenameProjectAction",1317530828388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530830572
error,log,,,"An internal error occurred during: ""Refreshing project 'injection'..."".",1317530830698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530830719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530830800
error,log,,,"An internal error occurred during: ""Refreshing project 'injection'..."".",1317530832372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530833877
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenameProjectAction",1317530836003
error,log,,,"Plug-in 'org.maven.ide.eclipse.refactoring' contributed an invalid Menu Extension (Path: 'org.eclipse.jdt.ui.refactoring.menu' is invalid): org.maven.ide.eclipse.editor.RenameProjectAction",1317530841356
error,log,,,"An internal error occurred during: ""Refreshing project 'notification'..."".",1317530843596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530843619
error,log,,,"An internal error occurred during: ""Refreshing project 'notification'..."".",1317530844298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530845237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530847912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530890571
activated,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530890640
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1317530891898
activated,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530892115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530896346
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1317530902563
activated,editor,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor.formeditor.MavenPomFormEditor",1317530905179
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317530908179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530911588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530946071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530946173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530947324
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.4.v201103310001,"org.eclipse.wst.jsdt.debug.core",1317530947460
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317530948835
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1317530950952
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1317530951026
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1317530951099
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1317530951253
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1317530951393
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1317530951428
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1317530951503
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1317530951573
stopped,bundle,com.soyatec.database,2.2.0.20091121,"com.soyatec.database",1317530951574
stopped,bundle,com.soyatec.edepend,3.4.0.20091121,"com.soyatec.edepend",1317530951574
